id,movie_id,provider_name
977,575803,Watcha
978,216282,Watcha
979,8204,wavve
980,207768,wavve
981,405882,Watcha
982,177677,wavve
983,680531,Amazon Prime Video
984,595149,wavve
985,924,wavve
986,169,Disney Plus
987,158011,wavve
988,1375,wavve
989,153518,Netflix
990,82881,Disney Plus
991,665,wavve
992,608,wavve
993,26338,wavve
994,602288,wavve
995,760336,Netflix
996,11852,Disney Plus
997,258230,wavve
998,533642,wavve
999,7131,wavve
1000,13179,Disney Plus
1001,331482,Watcha
1002,7443,Netflix
1003,158852,Disney Plus
1004,15512,Netflix
1005,18360,Disney Plus
1006,624963,Netflix
1007,169209,wavve
1008,298250,wavve
1009,44683,Disney Plus
1010,1364,wavve
1011,525661,Watcha
1012,333596,Netflix
1013,242,Watcha
1014,1267,Disney Plus
1015,9731,wavve
1016,49021,wavve
1017,78215,Watcha
1018,796849,Netflix
1019,4108,Disney Plus
1020,440597,Watcha
1021,8961,wavve
1022,1970,wavve
1023,192577,wavve
1024,1894,Disney Plus
1025,167032,wavve
1026,633515,Netflix
1027,286567,Watcha
1028,558,Netflix
1029,60747,wavve
1030,4552,Watcha
1031,318256,Netflix
1032,823855,Netflix
1033,1271,wavve
1034,1587,Watcha
1035,1367,wavve
1036,397243,wavve
1037,73245,wavve
1038,205596,Netflix
1039,387893,Disney Plus
1040,787752,Disney Plus
1041,568091,Netflix
1042,45612,Watcha
1043,950445,Netflix
1044,11130,Disney Plus
1045,501929,Netflix
1046,43539,Netflix
1047,378236,Watcha
1048,1893,Disney Plus
1049,13680,Disney Plus
1050,379149,Watcha
1051,11978,Disney Plus
1052,10545,Disney Plus
1053,334298,Watcha
1054,1246,wavve
1055,74,Watcha
1056,151960,Disney Plus
1057,634210,wavve
1058,403310,Watcha
1059,354556,Watcha
1060,58233,wavve
1061,357096,wavve
1062,516632,Disney Plus
1063,228066,Disney Plus
1064,20760,Disney Plus
1065,13761,Disney Plus
1066,406997,Watcha
1067,11247,Watcha
1068,956,wavve
1069,432130,Watcha
1070,9470,Netflix
1071,10515,Netflix
1072,13183,Netflix
1073,483539,Watcha
1074,419743,Watcha
1075,913862,Netflix
1076,1402,Watcha
1077,257475,Watcha
1078,10065,Watcha
1079,714338,Netflix
1080,424998,Watcha
1081,711475,Netflix
1082,608195,wavve
1083,6114,Watcha
1084,401469,Watcha
1085,72559,wavve
1086,26389,wavve
1087,16995,wavve
1088,484510,Netflix
1089,1813,Netflix
1090,716258,Amazon Prime Video
1091,193756,Watcha
